IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
27022103,,4,07,,,,,,,,,,,,,,,,,,,,,,,
27022103,,5,07,,,,,,,,,,,,,,,,,,,,,,,
27023220,,10,07,,49,,,,,,,,,,,,,,,,,,,,,
27023220,,11,07,,,,,,,,,,,,,,,,,,,,,,,
27019509,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27024281,,4,09,,,,,,,,,,,,,,,,,,,,,,,
27024281,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27027044,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27027044,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27028281,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27032838,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27032838,4,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27032838,,7,07,,,,,,,,,,,,,,,,,,,,,,,
27032838,,8,07,,,,,,,,,,,,,,,,,,,,,,,
27033464,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27037021,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27037223,,4,07,,,,,,,,,,,,,,,,,,,,,,,
27037223,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27042816,,6,07,,,,,,,,,,,,,,,,,,,,,,,
27045345,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27048786,,4,09,,,,,,,,,,,,,,,,,,,,,,,
27051153,2,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
27053890,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27054376,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27057575,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27059086,,5,09,,,,,,,,,,,,,,,,,,,,,,,
27060127,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27060127,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27060127,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27060703,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27060703,4,8,08,,,,True,False,,,,,,,,,,,,,,,,,,
27060703,,15,07,,,,,,,,,,,,,,,,,,,,,,,
27062140,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27062140,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27067209,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27067344,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27069497,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27069497,,4,07,,,,,,,,,,,,,,,,,,,,,,,
27069699,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27069701,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27073019,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
27074427,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27074427,,5,07,,,,,,,,,,,,,,,,,,,,,,,
27074429,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27075444,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27078103,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27078576,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27078576,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27080426,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27080426,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27081145,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27083502,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27083502,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27085661,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
