IncidentId,TrafficControlNo,TrafficControl,
26931111,1,MEDIAN,
26931111,2,OTHER,
26931111,3,WARNING SIGNS,
26931112,1,MEDIAN,
26931112,2,OTHER,
26931419,1,OFFICER OR FLAGMAN,
26931419,2,STOP & GO SIGNAL,
26932902,1,MEDIAN,
26933778,1,MEDIAN,
26934462,1,ADVISORY SPEED SIGN,
26934462,2,OTHER,
26934462,3,WARNING SIGNS,
26934690,1,CENTER LINE,
26936839,1,MEDIAN,
26937093,1,ADVISORY SPEED SIGN,
26937093,2,CENTER LINE,
26937093,3,OFFICER OR FLAGMAN,
26937093,4,WARNING SIGNS,
26937595,1,MEDIAN,
26937597,1,MEDIAN,
26937597,2,NO PASSING ZONE,
26937597,3,OFFICER OR FLAGMAN,
26938866,1,MEDIAN,
26940227,1,NONE,
26940833,1,CENTER LINE,
26941464,1,CENTER LINE,
26941464,2,OTHER,
26941464,3,WARNING SIGNS,
26941514,1,MEDIAN,
26941552,1,MEDIAN,
26941552,2,ADVISORY SPEED SIGN,
26941552,3,WARNING SIGNS,
26942131,1,MEDIAN,
26942131,2,ADVISORY SPEED SIGN,
26942131,3,YIELD SIGN,
26942133,1,MEDIAN,
26942136,1,MEDIAN,
26942137,1,MEDIAN,
26942137,2,ADVISORY SPEED SIGN,
26942137,3,WARNING SIGNS,
26942139,1,MEDIAN,
26942139,2,WARNING SIGNS,
26942144,1,MEDIAN,
26942144,2,ADVISORY SPEED SIGN,
26944981,1,MEDIAN,
26945031,1,STOP & GO SIGNAL,
26946047,1,MEDIAN,
26946804,1,CENTER LINE,
26946939,1,MEDIAN,
26946939,2,ADVISORY SPEED SIGN,
26947646,1,MEDIAN,
26948563,1,NONE,
26950934,1,OFFICER OR FLAGMAN,
26954856,1,MEDIAN,
26954856,2,ADVISORY SPEED SIGN,
26956469,1,CENTER LINE,
26958959,1,MEDIAN,
26958959,2,STOP SIGN,
26959753,1,MEDIAN,
26959793,1,MEDIAN,
26959793,2,STOP SIGN,
26960753,1,MEDIAN,
26960753,2,ADVISORY SPEED SIGN,
26965683,1,CENTER LINE,
26968330,1,CENTER LINE,
26968391,1,NONE,
26984710,1,MEDIAN,
26984712,1,MEDIAN,
26984894,1,MEDIAN,
26988900,1,MEDIAN,
26988900,2,WARNING SIGNS,
26989042,1,ADVISORY SPEED SIGN,
26989042,2,OTHER,
26989042,3,WARNING SIGNS,
26989167,1,CENTER LINE,
26990114,1,MEDIAN,
26990114,2,ADVISORY SPEED SIGN,
26990114,3,WARNING SIGNS,
26992286,1,CENTER LINE,
26992286,2,NO PASSING ZONE,
26994214,1,MEDIAN,
26995226,1,NONE,
27008443,1,CENTER LINE,
27008443,2,MEDIAN,
27008628,1,MEDIAN,
27008628,2,ADVISORY SPEED SIGN,
27008628,3,WARNING SIGNS,
27008629,1,MEDIAN,
27008629,2,ADVISORY SPEED SIGN,
27008629,3,WARNING SIGNS,
27008630,1,MEDIAN,
27008630,2,ADVISORY SPEED SIGN,
27008631,1,MEDIAN,
27008632,1,MEDIAN,
27008632,2,ADVISORY SPEED SIGN,
27008632,3,WARNING SIGNS,
27008633,1,ADVISORY SPEED SIGN,
27008633,2,MEDIAN,
27008633,3,WARNING SIGNS,
27008634,1,MEDIAN,
27009091,1,ADVISORY SPEED SIGN,
27009091,2,CENTER LINE,
27009091,3,NO PASSING ZONE,
27009091,4,OFFICER OR FLAGMAN,
27013002,1,CENTER LINE,
27013002,2,OTHER,
27013002,3,WARNING SIGNS,
27014254,1,CENTER LINE,
27014254,2,STOP SIGN,
27015076,1,MEDIAN,
27015076,2,OTHER,
27015752,1,NONE,
27019491,1,MEDIAN,
27019509,1,MEDIAN,
27019509,2,ADVISORY SPEED SIGN,
27019509,3,OTHER,
