IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,Unnamed: 18
26835749,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,13.0,1.0,True,NISS,FRT,,NISSAN,FRONTIER,
26683028,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),1.0,False,,DI,5.0,,False,15.0,1.0,True,KIA,SOR,,KIA MOTORS CORP,SORENTO,
26711560,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,36.0,,False,10.0,1.0,True,ISU,TK,,ISUZU,TRUCK,
26917638,1.0,PASSENGER CAR,3.0,False,,UN,5.0,,False,5.0,1.0,,,,,,,
26715684,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,98.0,True,CHEV,MAL,,CHEVROLET,MALIBU,
26836129,2.0,PASSENGER CAR,3.0,False,,DI,20.0,16.0,False,5.0,1.0,True,CHEV,EQX,,CHEVROLET,EQUINOX,
26835749,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,TOYT,CAM,,TOYOTA,CAMRY,
26602257,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,16.0,1.0,True,NISS,ALT,,NISSAN,ALTIMA,
26700561,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,GMC,ACA,,GENERAL MOTORS CORP,ACADIA,
26684112,1.0,PASSENGER CAR,3.0,False,,DI,46.0,,False,5.0,1.0,True,CHRY,300,,CHRYSLER,300M,
26315521,1.0,PASSENGER CAR,,False,,UN,47.0,,False,5.0,2.0,,,,,,,
26473617,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,FORD,F15,,FORD,F150,
26232980,2.0,PASSENGER CAR,,False,,UN,,,False,5.0,,,,,,,,
26163521,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,13.0,1.0,True,FORD,FOC,,FORD,FOCUS,
27044885,3.0,PASSENGER CAR,,False,,UN,5.0,,False,13.0,1.0,,,,,,,
27227987,1.0,PASSENGER CAR,3.0,False,,UN,5.0,,False,3.0,1.0,,,,,,,
26715684,3.0,PASSENGER CAR & TRAILER,3.0,False,,DL,5.0,,False,12.0,98.0,True,FORD,F15,,FORD,F150,
26543517,1.0,TRUCK & TRAILER,3.0,True,,UN,,,False,98.0,,,,,,,,
27008634,1.0,TRUCK & TRAILER,,False,,UN,5.0,,False,5.0,1.0,,,,,,,
27020042,1.0,TRUCK & TRAILER,3.0,True,,UN,5.0,,False,10.0,1.0,,,,,,,
27188830,1.0,TRUCK-SINGLE UNIT,3.0,False,,DI,16.0,,False,5.0,1.0,True,FRHT,,,FREIGHTLINER,,
26484436,2.0,TRUCK-SINGLE UNIT,3.0,False,,DI,5.0,,False,5.0,1.0,True,MACK,GR,,MACK,GRANITE SERIES,
26637315,1.0,TRUCK TRACTOR & SEMI-TRAILER,,False,,UN,,,,,,,,,,,,
26570804,1.0,TRUCK TRACTOR & SEMI-TRAILER,,True,,DI,5.0,,False,2.0,1.0,True,,,,,,
26698409,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,5.0,,False,5.0,1.0,True,MACK,AN,,MACK,ANTHEM SERIES,
26698409,2.0,TRUCK TRACTOR & SEMI-TRAILER,,True,,UN,,,,,,,,,,,,
26336563,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,5.0,,False,5.0,1.0,True,INTL,,,INTERNATIONAL,,
26386646,,TRUCK TRACTOR & SEMI-TRAILER,,,,,,,,,,,,,,,,
26193888,2.0,TRUCK TRACTOR & SEMI-TRAILER,,True,,UN,,,,,,,,,,,,
27103344,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,UN,5.0,,False,5.0,1.0,,,,,,,
27073019,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,UN,5.0,,False,10.0,1.0,,,,,,,
27211346,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,False,,UN,5.0,,False,3.0,4.0,,,,,,,
26853382,1.0,TRUCK-OTHER COMBINATION,1.0,True,,DI,5.0,,False,5.0,1.0,True,FRHT,CAS,,FREIGHTLINER,CASCADIA,
26403706,1.0,OTHER,3.0,False,,DL,5.0,,False,12.0,1.0,,,,,,,
27053890,2.0,OTHER,3.0,False,,DL,5.0,,False,12.0,1.0,,,,,,,
26995226,1.0,OTHER,3.0,False,,DI,5.0,,False,2.0,1.0,,,,,,,
27327973,2.0,OTHER,3.0,False,,DI,5.0,,False,16.0,1.0,,,,,,,
27275234,2.0,OTHER,3.0,False,,DI,5.0,,False,18.0,1.0,,,,,,,
27572802,1.0,OTHER,3.0,False,,DI,5.0,,False,2.0,1.0,,,,,,,
27405970,1.0,OTHER,3.0,False,,DI,5.0,,False,13.0,1.0,,,,,,,
27275234,1.0,TRUCK-SINGLE UNIT,3.0,True,,DI,5.0,,False,97.0,1.0,True,HINO,238,2 DOOR,HINO,238,
27471219,3.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,13.0,1.0,True,BMW,430,2 DOOR,BMW,430 SERIES,
27461678,1.0,PASSENGER CAR,3.0,False,,DI,32.0,,False,5.0,1.0,True,CHEV,CAV,2 DOOR,CHEVROLET,CAVALIER,
27946778,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,10.0,1.0,False,HOND,CIV,2 DOOR,HONDA,CIVIC,
27633830,1.0,PASSENGER CAR,1.0,False,,DI,15.0,5.0,False,5.0,1.0,True,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
27540947,1.0,PASSENGER CAR,2.0,False,,DI,5.0,,False,8.0,1.0,True,BMW,428,2 DOOR,BMW,428I,
27540947,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,False,VOLK,GTI,2 DOOR,VOLKSWAGEN,GTI,
27065830,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,13.0,1.0,True,HOND,ACC,2 DOOR,HONDA,ACCORD,
27119593,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,VOLK,GTI,2 DOOR,VOLKSWAGEN,GTI,
27323899,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,13.0,1.0,True,MNNI,CPR,2 DOOR,MINI (PC),COOPER/HTSS CVS HTCVCPES CPE,
27330470,1.0,PASSENGER CAR,1.0,False,,DI,51.0,,False,5.0,1.0,True,FORD,FOC,2 DOOR,FORD,FOCUS/FOCUS RS,
27267227,1.0,PASSENGER CAR,1.0,False,,DI,46.0,,False,5.0,1.0,True,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
27255640,1.0,PASSENGER CAR,1.0,False,,DI,41.0,5.0,False,5.0,1.0,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
27297306,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,13.0,1.0,True,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
27199164,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,3.0,1.0,True,PONT,FBD,2 DOOR,PONTIAC,FIREBIRD,
27177984,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
27013002,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,3.0,1.0,True,HOND,ACC,2 DOOR,HONDA,ACCORD,
26984894,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,3.0,1.0,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
26217422,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,16.0,1.0,True,BMW,330,2 DOOR,BMW,330CI  330I,
26472140,3.0,PASSENGER CAR,3.0,False,,DL,5.0,,False,12.0,1.0,True,VOLK,BUG,2 DOOR,VOLKSWAGEN,BEETLE,
26689209,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
26783066,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,4.0,True,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
26745250,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,6.0,True,VOLK,BUG,2 DOOR,VOLKSWAGEN,BEETLE (SUPER BEETLE OR BUG),
26859356,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
26940833,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,13.0,1.0,True,CHEV,CBT,2 DOOR,CHEVROLET,COBALT,
26936839,1.0,PASSENGER CAR,1.0,False,,DI,39.0,,False,5.0,1.0,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
26937093,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,False,CHEV,CAV,2 DOOR,CHEVROLET,CAVALIER,
26769598,1.0,HIT & RUN/UNKNOWN,3.0,False,,UN,5.0,,False,5.0,1.0,,SCIO,,2 DOOR,SCION,,
26394063,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,13.0,1.0,True,CHEV,CAM,HATCHBACK 2 DOOR,CHEVROLET,CAMARO,
27389922,2.0,PASSENGER CAR,1.0,False,,DI,5.0,5.0,False,16.0,1.0,True,FIAT,500,HATCHBACK 2 DOOR,FIAT,500500L500X,
26186176,1.0,PASSENGER CAR,2.0,False,,DI,16.0,,False,5.0,1.0,True,CHEV,CVT,HARDTOP 2 DOOR,CHEVROLET,CORVETTE,
27115037,3.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,SCIO,TC,3 DOOR,SCION,TC,
27552571,1.0,PASSENGER CAR,1.0,False,,DI,47.0,41.0,False,5.0,1.0,True,SCIO,TC,3 DOOR,SCION,TC,
26296674,3.0,PASSENGER CAR,1.0,False,,DI,5.0,5.0,False,13.0,1.0,True,SCIO,TC,HATCHBACK 3 DOOR,SCION,TC,
26932902,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,10.0,1.0,True,HYUN,ACC,HATCHBACK 3 DOOR,HYUNDAI,ACCENT,
26927560,1.0,PASSENGER CAR,3.0,False,,DI,16.0,,False,5.0,1.0,True,HOND,ACC,4 DOOR,HONDA,ACCORD,
26930654,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,PONT,VIB,4 DOOR,PONTIAC,VIBE (SPORT WAGON),
26931112,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,16.0,1.0,True,MNNI,CTY,4 DOOR,MINI (PC),CTRYMN/S CTRYMN/S CTRYMN ALL4,
26933778,1.0,PASSENGER CAR,1.0,False,,DI,16.0,,False,5.0,1.0,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
26925132,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,VOLK,PAS,4 DOOR,VOLKSWAGEN,PASSAT,
26920475,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,3.0,1.0,True,HYUN,SON,4 DOOR,HYUNDAI,SONATA,
26917638,2.0,PASSENGER CAR,1.0,False,,DI,47.0,,False,5.0,1.0,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
26916820,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,13.0,1.0,True,AUDI,S4,4 DOOR,AUDI,S4,
26924046,1.0,PASSENGER CAR,3.0,False,,DI,16.0,,False,7.0,1.0,True,BUIC,REG,4 DOOR,BUICK,REGAL,
26937093,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
26942136,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
26942136,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,FORD,FUS,4 DOOR,FORD,FUSION,
26942133,1.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,TOYT,YAR,4 DOOR,TOYOTA,YARIS,
26941464,2.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,5.0,1.0,True,KIA,RIO,4 DOOR,KIA MOTORS CORPORATION,RIO,
26941552,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,3.0,1.0,True,HOND,CIV,4 DOOR,HONDA,CIVIC,
26942131,1.0,PASSENGER CAR,2.0,False,,DI,5.0,,False,10.0,1.0,True,TOYT,AVA,4 DOOR,TOYOTA,AVALON,
26909999,1.0,PASSENGER CAR,1.0,False,,DI,5.0,,False,15.0,1.0,True,HOND,ACC,4 DOOR,HONDA,ACCORD,
26904127,2.0,PASSENGER CAR,3.0,False,,DI,5.0,,False,5.0,1.0,True,SUBA,IMP,4 DOOR,SUBARU,IMPREZA,
