IncidentId,UnitNumber,Factor_Type,Factor
32943651,1,ENVIRON FACTOR,2
32943651,2,ENVIRON FACTOR,17
32943651,2,ENVIRON FACTOR,2
32943735,1,ENVIRON FACTOR,2
32943735,1,ENVIRON FACTOR,6
32943735,2,ENVIRON FACTOR,99
32943995,1,ENVIRON FACTOR,2
32943995,2,ENVIRON FACTOR,2
32944295,1,ENVIRON FACTOR,9
32944295,2,ENVIRON FACTOR,2
32944295,2,ENVIRON FACTOR,9
32945957,1,ENVIRON FACTOR,2
32945957,2,ENVIRON FACTOR,99
32947384,1,ENVIRON FACTOR,2
32947384,2,ENVIRON FACTOR,2
32947384,2,ENVIRON FACTOR,11
32948416,1,ENVIRON FACTOR,2
32948416,2,ENVIRON FACTOR,16
32948609,1,ENVIRON FACTOR,2
32957053,1,ENVIRON FACTOR,2
32963932,1,ENVIRON FACTOR,2
32963932,2,ENVIRON FACTOR,2
32964686,1,ENVIRON FACTOR,2
32964686,2,ENVIRON FACTOR,99
32965206,1,ENVIRON FACTOR,2
32965206,2,ENVIRON FACTOR,2
32965206,3,ENVIRON FACTOR,2
32965207,1,ENVIRON FACTOR,2
32965207,2,ENVIRON FACTOR,2
32970125,1,ENVIRON FACTOR,2
32971254,1,ENVIRON FACTOR,2
32971254,2,ENVIRON FACTOR,99
32971390,1,ENVIRON FACTOR,2
32972126,1,ENVIRON FACTOR,2
32972126,2,ENVIRON FACTOR,2
32972750,1,ENVIRON FACTOR,2
32973003,1,ENVIRON FACTOR,2
32973003,2,ENVIRON FACTOR,2
32976305,1,ENVIRON FACTOR,2
32976305,2,ENVIRON FACTOR,99
32979391,1,ENVIRON FACTOR,17
32979391,1,ENVIRON FACTOR,2
32979391,2,ENVIRON FACTOR,17
32979391,2,ENVIRON FACTOR,2
32979457,1,ENVIRON FACTOR,2
32979457,2,ENVIRON FACTOR,2
32982687,1,ENVIRON FACTOR,2
32982687,2,ENVIRON FACTOR,2
32983242,1,ENVIRON FACTOR,2
32983242,2,ENVIRON FACTOR,2
32984950,1,ENVIRON FACTOR,2
32985847,1,ENVIRON FACTOR,2
32985847,2,ENVIRON FACTOR,2
32985854,1,ENVIRON FACTOR,17
32985854,1,ENVIRON FACTOR,2
32985854,2,ENVIRON FACTOR,2
32985854,3,ENVIRON FACTOR,17
32985854,3,ENVIRON FACTOR,2
32988649,1,ENVIRON FACTOR,2
32988728,1,ENVIRON FACTOR,2
32988728,1,ENVIRON FACTOR,12
32988728,2,ENVIRON FACTOR,2
32993328,1,ENVIRON FACTOR,2
32993328,2,ENVIRON FACTOR,2
32997960,1,ENVIRON FACTOR,2
32997960,2,ENVIRON FACTOR,2
32997960,3,ENVIRON FACTOR,2
32998037,1,ENVIRON FACTOR,2
32998037,2,ENVIRON FACTOR,2
32998037,3,ENVIRON FACTOR,2
32999195,1,ENVIRON FACTOR,2
32999195,2,ENVIRON FACTOR,2
33000396,1,ENVIRON FACTOR,17
33000396,1,ENVIRON FACTOR,2
33000396,2,ENVIRON FACTOR,17
33000396,2,ENVIRON FACTOR,2
33001120,1,ENVIRON FACTOR,2
33001120,2,ENVIRON FACTOR,2
33004289,1,ENVIRON FACTOR,17
33004289,1,ENVIRON FACTOR,2
33004289,2,ENVIRON FACTOR,17
33004289,2,ENVIRON FACTOR,2
33004562,1,ENVIRON FACTOR,2
33004562,2,ENVIRON FACTOR,2
33004562,2,ENVIRON FACTOR,9
33004881,1,ENVIRON FACTOR,17
33004881,1,ENVIRON FACTOR,2
33004881,2,ENVIRON FACTOR,17
33004881,2,ENVIRON FACTOR,2
33005638,1,ENVIRON FACTOR,2
33005638,1,ENVIRON FACTOR,3
33005726,1,ENVIRON FACTOR,17
33005726,1,ENVIRON FACTOR,2
33005726,2,ENVIRON FACTOR,17
33005726,2,ENVIRON FACTOR,2
33006961,1,ENVIRON FACTOR,2
33006961,2,ENVIRON FACTOR,2
33009378,1,ENVIRON FACTOR,2
33009378,2,ENVIRON FACTOR,2
33009739,1,ENVIRON FACTOR,2
33009739,2,ENVIRON FACTOR,2
33011469,1,ENVIRON FACTOR,2
33011469,2,ENVIRON FACTOR,2
33012740,1,ENVIRON FACTOR,2
33012740,2,ENVIRON FACTOR,2
33015002,1,ENVIRON FACTOR,2
33015002,2,ENVIRON FACTOR,2
33016788,1,ENVIRON FACTOR,2
33016788,2,ENVIRON FACTOR,2
33016788,3,ENVIRON FACTOR,2
33016788,4,ENVIRON FACTOR,2
33024535,1,ENVIRON FACTOR,2
33024535,2,ENVIRON FACTOR,99
33025893,1,ENVIRON FACTOR,2
33026575,1,ENVIRON FACTOR,2
33028817,1,ENVIRON FACTOR,2
33028817,2,ENVIRON FACTOR,2
33028993,1,ENVIRON FACTOR,2
33032568,1,ENVIRON FACTOR,2
33032568,2,ENVIRON FACTOR,2
33034032,1,ENVIRON FACTOR,17
33034032,1,ENVIRON FACTOR,2
33034032,2,ENVIRON FACTOR,17
33034032,2,ENVIRON FACTOR,2
33034069,1,ENVIRON FACTOR,2
33034069,2,ENVIRON FACTOR,2
33034069,3,ENVIRON FACTOR,2
33035547,1,ENVIRON FACTOR,2
33035547,2,ENVIRON FACTOR,2
33035871,1,ENVIRON FACTOR,2
33035871,2,ENVIRON FACTOR,2
33035872,1,ENVIRON FACTOR,2
33035872,2,ENVIRON FACTOR,2
33035872,3,ENVIRON FACTOR,2
33035874,1,ENVIRON FACTOR,2
33035874,2,ENVIRON FACTOR,2
33038192,1,ENVIRON FACTOR,17
33038192,1,ENVIRON FACTOR,2
33038192,2,ENVIRON FACTOR,17
33038192,2,ENVIRON FACTOR,2
33039605,1,ENVIRON FACTOR,2
33039605,2,ENVIRON FACTOR,2
33040558,1,ENVIRON FACTOR,2
33044209,1,ENVIRON FACTOR,2
33044209,2,ENVIRON FACTOR,2
33044209,2,ENVIRON FACTOR,9
33044210,1,ENVIRON FACTOR,2
33044210,2,ENVIRON FACTOR,2
33049227,1,ENVIRON FACTOR,2
33049227,2,ENVIRON FACTOR,2
33050770,1,ENVIRON FACTOR,2
33050770,1,ENVIRON FACTOR,9
33050770,2,ENVIRON FACTOR,2
33051731,1,ENVIRON FACTOR,2
33051731,2,ENVIRON FACTOR,99
33051932,1,ENVIRON FACTOR,2
33051932,1,ENVIRON FACTOR,9
33053276,1,ENVIRON FACTOR,2
33053502,1,ENVIRON FACTOR,2
33053502,2,ENVIRON FACTOR,2
33053757,1,ENVIRON FACTOR,2
33053757,1,ENVIRON FACTOR,3
33056442,1,ENVIRON FACTOR,2
33056442,2,ENVIRON FACTOR,2
33056442,3,ENVIRON FACTOR,2
33056442,4,ENVIRON FACTOR,2
33057218,1,ENVIRON FACTOR,2
33057218,2,ENVIRON FACTOR,2
33059719,1,ENVIRON FACTOR,2
33059719,2,ENVIRON FACTOR,2
33061429,1,ENVIRON FACTOR,2
33061429,2,ENVIRON FACTOR,2
33062789,1,ENVIRON FACTOR,2
33062789,2,ENVIRON FACTOR,2
33062791,1,ENVIRON FACTOR,2
33064809,1,ENVIRON FACTOR,2
33064809,2,ENVIRON FACTOR,2
33065755,1,ENVIRON FACTOR,2
33065755,2,ENVIRON FACTOR,2
33067333,1,ENVIRON FACTOR,2
33070342,1,ENVIRON FACTOR,2
33070342,2,ENVIRON FACTOR,99
33071998,1,ENVIRON FACTOR,2
33071998,2,ENVIRON FACTOR,2
33077658,1,ENVIRON FACTOR,2
33077658,2,ENVIRON FACTOR,2
33077658,3,ENVIRON FACTOR,2
33079150,1,ENVIRON FACTOR,2
33079150,2,ENVIRON FACTOR,2
33079150,3,ENVIRON FACTOR,2
33079465,1,ENVIRON FACTOR,2
33079465,2,ENVIRON FACTOR,2
33081957,1,ENVIRON FACTOR,17
33081957,1,ENVIRON FACTOR,2
33081957,2,ENVIRON FACTOR,17
33081957,2,ENVIRON FACTOR,2
33082023,1,ENVIRON FACTOR,2
33082958,1,ENVIRON FACTOR,2
33082958,2,ENVIRON FACTOR,2
33083941,2,ENVIRON FACTOR,2
33087003,1,ENVIRON FACTOR,2
33087003,2,ENVIRON FACTOR,2
33087435,1,ENVIRON FACTOR,17
33087435,1,ENVIRON FACTOR,2
33087435,2,ENVIRON FACTOR,2
33088235,1,ENVIRON FACTOR,2
33091299,1,ENVIRON FACTOR,2
33091299,2,ENVIRON FACTOR,2
33092743,1,ENVIRON FACTOR,2
33092743,2,ENVIRON FACTOR,2
33093968,1,ENVIRON FACTOR,2
33093968,2,ENVIRON FACTOR,2
33095200,1,ENVIRON FACTOR,2
33095200,2,ENVIRON FACTOR,2
33095200,2,ENVIRON FACTOR,9
33096673,1,ENVIRON FACTOR,2
33096673,2,ENVIRON FACTOR,2
33096887,1,ENVIRON FACTOR,2
33097623,1,ENVIRON FACTOR,2
33097623,2,ENVIRON FACTOR,9
33101554,1,ENVIRON FACTOR,2
33101554,1,ENVIRON FACTOR,9
33101554,2,ENVIRON FACTOR,2
33101884,1,ENVIRON FACTOR,2
33101884,2,ENVIRON FACTOR,2
33102133,1,ENVIRON FACTOR,2
33102133,1,ENVIRON FACTOR,11
33102133,2,ENVIRON FACTOR,99
33102943,1,ENVIRON FACTOR,2
33102943,2,ENVIRON FACTOR,17
33102943,2,ENVIRON FACTOR,2
33104828,1,ENVIRON FACTOR,2
33104828,1,ENVIRON FACTOR,11
33104830,1,ENVIRON FACTOR,2
33104830,2,ENVIRON FACTOR,2
33109520,1,ENVIRON FACTOR,2
33109520,2,ENVIRON FACTOR,2
33109540,1,ENVIRON FACTOR,2
33109540,2,ENVIRON FACTOR,2
33109540,3,ENVIRON FACTOR,2
33116607,1,ENVIRON FACTOR,2
33116607,2,ENVIRON FACTOR,2
33117378,1,ENVIRON FACTOR,2
33117378,2,ENVIRON FACTOR,99
33117691,1,ENVIRON FACTOR,2
33117691,2,ENVIRON FACTOR,2
33119026,1,ENVIRON FACTOR,99
33119026,2,ENVIRON FACTOR,2
33119166,1,ENVIRON FACTOR,17
33119166,1,ENVIRON FACTOR,2
33119166,2,ENVIRON FACTOR,2
33119804,1,ENVIRON FACTOR,2
33119804,2,ENVIRON FACTOR,2
33119944,1,ENVIRON FACTOR,2
33119944,2,ENVIRON FACTOR,2
33122141,1,ENVIRON FACTOR,2
33122141,1,ENVIRON FACTOR,99
33122141,2,ENVIRON FACTOR,99
33122335,1,ENVIRON FACTOR,2
33122335,2,ENVIRON FACTOR,2
33122703,1,ENVIRON FACTOR,2
33122703,2,ENVIRON FACTOR,2
33122922,1,ENVIRON FACTOR,2
33122922,2,ENVIRON FACTOR,2
33123381,1,ENVIRON FACTOR,2
33123381,1,ENVIRON FACTOR,14
33123381,2,ENVIRON FACTOR,2
33123381,2,ENVIRON FACTOR,9
33128371,1,ENVIRON FACTOR,2
33128371,2,ENVIRON FACTOR,2
33128371,3,ENVIRON FACTOR,2
33128977,1,ENVIRON FACTOR,2
33131156,1,ENVIRON FACTOR,2
33131156,2,ENVIRON FACTOR,2
33131156,3,ENVIRON FACTOR,2
33132711,1,ENVIRON FACTOR,2
33132711,2,ENVIRON FACTOR,2
33139820,1,ENVIRON FACTOR,17
33139820,1,ENVIRON FACTOR,2
33139820,2,ENVIRON FACTOR,17
33139820,2,ENVIRON FACTOR,2
33141702,1,ENVIRON FACTOR,2
33141702,2,ENVIRON FACTOR,2
33148920,1,ENVIRON FACTOR,2
33148920,2,ENVIRON FACTOR,2
33149395,1,ENVIRON FACTOR,2
33149395,2,ENVIRON FACTOR,2
33149460,1,ENVIRON FACTOR,2
33149460,2,ENVIRON FACTOR,2
33151045,1,ENVIRON FACTOR,2
33151045,2,ENVIRON FACTOR,2
33152694,1,ENVIRON FACTOR,2
33152694,2,ENVIRON FACTOR,2
33154418,1,ENVIRON FACTOR,17
33154418,1,ENVIRON FACTOR,2
33154418,2,ENVIRON FACTOR,17
33154418,2,ENVIRON FACTOR,2
33154418,3,ENVIRON FACTOR,17
33154418,3,ENVIRON FACTOR,2
33157915,1,ENVIRON FACTOR,2
33158706,1,ENVIRON FACTOR,2
33158706,2,ENVIRON FACTOR,2
33164534,1,ENVIRON FACTOR,2
33170487,1,ENVIRON FACTOR,2
33170487,2,ENVIRON FACTOR,2
33172205,1,ENVIRON FACTOR,2
33172205,2,ENVIRON FACTOR,2
33172261,1,ENVIRON FACTOR,2
33172261,2,ENVIRON FACTOR,2
33173079,1,ENVIRON FACTOR,2
33173079,2,ENVIRON FACTOR,99
33173331,1,ENVIRON FACTOR,2
33173331,2,ENVIRON FACTOR,2
33173331,2,ENVIRON FACTOR,3
33173603,1,ENVIRON FACTOR,2
33173603,2,ENVIRON FACTOR,9
33174506,1,ENVIRON FACTOR,2
33174506,2,ENVIRON FACTOR,2
33174506,3,ENVIRON FACTOR,2
33175521,1,ENVIRON FACTOR,17
33175521,1,ENVIRON FACTOR,2
33175521,2,ENVIRON FACTOR,17
33175521,2,ENVIRON FACTOR,2
33176819,1,ENVIRON FACTOR,2
33176819,2,ENVIRON FACTOR,2
33177883,1,ENVIRON FACTOR,2
33181983,1,ENVIRON FACTOR,2
33181983,2,ENVIRON FACTOR,2
33184376,1,ENVIRON FACTOR,2
33184376,2,ENVIRON FACTOR,2
33187324,1,ENVIRON FACTOR,2
33187324,2,ENVIRON FACTOR,2
33187400,1,ENVIRON FACTOR,2
33187400,2,ENVIRON FACTOR,2
33187404,1,ENVIRON FACTOR,2
33187404,2,ENVIRON FACTOR,2
33187951,1,ENVIRON FACTOR,2
33187951,1,ENVIRON FACTOR,97
33187951,2,ENVIRON FACTOR,99
33191749,1,ENVIRON FACTOR,17
33191749,1,ENVIRON FACTOR,2
33191749,2,ENVIRON FACTOR,17
33191749,2,ENVIRON FACTOR,2
33192321,1,ENVIRON FACTOR,2
33192321,2,ENVIRON FACTOR,2
33197510,1,ENVIRON FACTOR,2
33197510,2,ENVIRON FACTOR,2
33198099,1,ENVIRON FACTOR,2
33198099,2,ENVIRON FACTOR,2
33202704,1,ENVIRON FACTOR,2
33203153,1,ENVIRON FACTOR,2
33203153,2,ENVIRON FACTOR,99
33207403,1,ENVIRON FACTOR,97
33207403,2,ENVIRON FACTOR,2
33208053,1,ENVIRON FACTOR,2
33208053,2,ENVIRON FACTOR,2
33208053,3,ENVIRON FACTOR,2
33210717,1,ENVIRON FACTOR,2
33210717,2,ENVIRON FACTOR,2
33211051,1,ENVIRON FACTOR,2
33211051,2,ENVIRON FACTOR,2
33211218,1,ENVIRON FACTOR,2
33211218,2,ENVIRON FACTOR,99
33212012,1,ENVIRON FACTOR,17
33212012,1,ENVIRON FACTOR,2
33212012,2,ENVIRON FACTOR,17
33212012,2,ENVIRON FACTOR,2
33212681,1,ENVIRON FACTOR,2
33214732,1,ENVIRON FACTOR,2
33216188,1,ENVIRON FACTOR,2
33216188,2,ENVIRON FACTOR,2
33216198,1,ENVIRON FACTOR,17
33216198,1,ENVIRON FACTOR,2
33216198,2,ENVIRON FACTOR,17
33216198,2,ENVIRON FACTOR,2
33219668,1,ENVIRON FACTOR,17
33219668,1,ENVIRON FACTOR,2
33219668,2,ENVIRON FACTOR,99
33220901,1,ENVIRON FACTOR,17
33220901,1,ENVIRON FACTOR,2
33220901,2,ENVIRON FACTOR,17
33220901,2,ENVIRON FACTOR,2
33221168,1,ENVIRON FACTOR,2
33221168,2,ENVIRON FACTOR,2
33221697,1,ENVIRON FACTOR,2
33221697,2,ENVIRON FACTOR,99
33222914,1,ENVIRON FACTOR,2
33222914,2,ENVIRON FACTOR,2
33224249,1,ENVIRON FACTOR,17
33224249,1,ENVIRON FACTOR,2
33224249,2,ENVIRON FACTOR,2
33225595,1,ENVIRON FACTOR,2
33225595,2,ENVIRON FACTOR,2
33226547,1,ENVIRON FACTOR,2
33226547,2,ENVIRON FACTOR,2
33231013,1,ENVIRON FACTOR,17
33231013,1,ENVIRON FACTOR,2
33231013,2,ENVIRON FACTOR,17
33231013,2,ENVIRON FACTOR,2
33231013,3,ENVIRON FACTOR,17
33231013,3,ENVIRON FACTOR,2
33231943,1,ENVIRON FACTOR,2
33231943,2,ENVIRON FACTOR,2
33232187,1,ENVIRON FACTOR,2
33232187,2,ENVIRON FACTOR,2
33232378,1,ENVIRON FACTOR,2
33232378,2,ENVIRON FACTOR,99
33232484,1,ENVIRON FACTOR,2
33232484,2,ENVIRON FACTOR,2
33236305,1,ENVIRON FACTOR,2
33236305,2,ENVIRON FACTOR,2
33236325,1,ENVIRON FACTOR,2
33236325,2,ENVIRON FACTOR,2
33241492,1,ENVIRON FACTOR,2
33241492,2,ENVIRON FACTOR,2
33242443,1,ENVIRON FACTOR,2
33242443,2,ENVIRON FACTOR,2
33242471,1,ENVIRON FACTOR,2
33242471,2,ENVIRON FACTOR,2
33248467,1,ENVIRON FACTOR,2
33248467,2,ENVIRON FACTOR,99
33248467,3,ENVIRON FACTOR,99
33248467,4,ENVIRON FACTOR,2
