IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
29892273,2,2,1,INSTALLED/NOT DEPLOYED,
29892273,2,3,1,INSTALLED/NOT DEPLOYED,
29892273,2,4,1,INSTALLED/NOT DEPLOYED,
29893808,1,1,1,INSTALLED/NOT DEPLOYED,
29893808,2,2,1,INSTALLED/NOT DEPLOYED,
29906135,1,1,1,NOT INSTALLED,
29906135,2,3,1,INSTALLED/NOT DEPLOYED,
29906135,2,4,1,INSTALLED/NOT DEPLOYED,
29906279,1,1,1,DEPLOYED-CURTAIN,
29906279,1,1,2,DEPLOYED-FRONT,
29906279,2,2,1,NOT INSTALLED,
29910509,1,1,1,INSTALLED/NOT DEPLOYED,
29910509,1,3,1,INSTALLED/NOT DEPLOYED,
29910509,2,4,1,INSTALLED/NOT DEPLOYED,
29913780,1,1,1,INSTALLED/NOT DEPLOYED,
29913780,2,3,1,INSTALLED/NOT DEPLOYED,
29915633,1,1,1,INSTALLED/NOT DEPLOYED,
29915633,2,3,1,INSTALLED/NOT DEPLOYED,
29915633,2,4,1,INSTALLED/NOT DEPLOYED,
29917013,1,1,1,INSTALLED/NOT DEPLOYED,
29917013,2,2,1,INSTALLED/NOT DEPLOYED,
29923181,1,1,1,INSTALLED/NOT DEPLOYED,
29923181,3,4,1,INSTALLED/NOT DEPLOYED,
29923181,2,5,1,INSTALLED/NOT DEPLOYED,
29923409,1,1,1,INSTALLED/NOT DEPLOYED,
29923409,1,2,1,INSTALLED/NOT DEPLOYED,
29923409,2,4,1,INSTALLED/NOT DEPLOYED,
29928499,2,1,1,INSTALLED/NOT DEPLOYED,
29929393,1,1,1,INSTALLED/NOT DEPLOYED,
29929393,2,2,1,INSTALLED/NOT DEPLOYED,
29930240,1,1,1,INSTALLED/NOT DEPLOYED,
29941441,1,1,1,DEPLOYED-COMBINATION,
29947895,1,1,1,INSTALLED/NOT DEPLOYED,
29947895,2,2,1,INSTALLED/NOT DEPLOYED,
29947895,2,3,1,NOT INSTALLED,
29947895,2,4,1,NOT INSTALLED,
29947895,2,5,1,INSTALLED/NOT DEPLOYED,
29947895,2,6,1,INSTALLED/NOT DEPLOYED,
29950342,1,1,1,INSTALLED/NOT DEPLOYED,
29950342,2,2,1,NOT INSTALLED,
29950700,1,2,1,INSTALLED/NOT DEPLOYED,
29950700,2,3,1,INSTALLED/NOT DEPLOYED,
29951438,1,1,1,INSTALLED/NOT DEPLOYED,
29951438,2,3,1,INSTALLED/NOT DEPLOYED,
29953782,2,1,1,INSTALLED/NOT DEPLOYED,
29953782,2,2,1,INSTALLED/NOT DEPLOYED,
29953782,1,4,1,DEPLOYED-FRONT,
29953782,1,4,2,DEPLOYED-SIDE,
29953782,1,5,1,DEPLOYED-FRONT,
29953782,1,5,2,DEPLOYED-SIDE,
29953782,3,7,1,INSTALLED/NOT DEPLOYED,
29953782,3,8,1,INSTALLED/NOT DEPLOYED,
29953782,3,9,1,INSTALLED/NOT DEPLOYED,
29953782,3,10,1,INSTALLED/NOT DEPLOYED,
29953782,4,11,1,INSTALLED/NOT DEPLOYED,
29953782,5,13,1,INSTALLED/NOT DEPLOYED,
29953782,5,14,1,INSTALLED/NOT DEPLOYED,
29953782,5,15,1,INSTALLED/NOT DEPLOYED,
29953782,6,16,1,INSTALLED/NOT DEPLOYED,
29954793,1,1,1,INSTALLED/NOT DEPLOYED,
29956957,1,1,1,INSTALLED/NOT DEPLOYED,
29956957,2,2,1,INSTALLED/NOT DEPLOYED,
29957509,1,1,1,INSTALLED/NOT DEPLOYED,
29957509,2,2,1,INSTALLED/NOT DEPLOYED,
29962239,1,1,1,INSTALLED/NOT DEPLOYED,
29962239,2,3,1,INSTALLED/NOT DEPLOYED,
29970138,1,1,1,INSTALLED/NOT DEPLOYED,
29970138,2,3,1,INSTALLED/NOT DEPLOYED,
29970265,1,1,1,DEPLOYED-COMBINATION,
29970476,1,1,1,INSTALLED/NOT DEPLOYED,
29970607,1,1,1,INSTALLED/NOT DEPLOYED,
29976414,1,1,1,INSTALLED/NOT DEPLOYED,
29976414,2,2,1,INSTALLED/NOT DEPLOYED,
29976416,1,1,1,INSTALLED/NOT DEPLOYED,
29976416,2,3,1,INSTALLED/NOT DEPLOYED,
29976416,2,4,1,INSTALLED/NOT DEPLOYED,
29976417,2,1,1,INSTALLED/NOT DEPLOYED,
29976417,2,2,1,INSTALLED/NOT DEPLOYED,
29977181,1,1,1,INSTALLED/NOT DEPLOYED,
29977181,1,2,1,INSTALLED/NOT DEPLOYED,
29977181,1,3,1,INSTALLED/NOT DEPLOYED,
29977181,2,4,1,INSTALLED/NOT DEPLOYED,
29977181,2,5,1,INSTALLED/NOT DEPLOYED,
29978104,2,1,1,INSTALLED/NOT DEPLOYED,
29978211,1,1,1,INSTALLED/NOT DEPLOYED,
29978211,1,2,1,INSTALLED/NOT DEPLOYED,
29978211,2,3,1,INSTALLED/NOT DEPLOYED,
29978211,2,4,1,INSTALLED/NOT DEPLOYED,
29978211,2,5,1,INSTALLED/NOT DEPLOYED,
29978211,2,6,1,INSTALLED/NOT DEPLOYED,
29978338,1,1,1,DEPLOYED-FRONT,
29978338,2,2,1,DEPLOYED-CURTAIN,
29978338,2,2,2,DEPLOYED-FRONT,
29978338,3,3,1,INSTALLED/NOT DEPLOYED,
29978338,3,4,1,INSTALLED/NOT DEPLOYED,
29979786,1,1,1,INSTALLED/NOT DEPLOYED,
29979786,1,2,1,INSTALLED/NOT DEPLOYED,
29979786,2,3,1,INSTALLED/NOT DEPLOYED,
29979969,1,1,1,INSTALLED/NOT DEPLOYED,
29979969,1,2,1,INSTALLED/NOT DEPLOYED,
