IncidentId,TrafficControlNo,TrafficControl,
30141594,2,STOP & GO SIGNAL,
30142293,1,MEDIAN,
30148185,1,OTHER,
30148185,2,WARNING SIGNS,
30148831,1,MEDIAN,
30148984,1,MEDIAN,
30150682,1,MEDIAN,
30153923,1,CENTER LINE,
30154381,1,STOP & GO SIGNAL,
30160951,1,MEDIAN,
30160951,2,STOP SIGN,
30162446,1,MEDIAN,
30162623,1,MEDIAN,
30162623,2,ADVISORY SPEED SIGN,
30162623,3,WARNING SIGNS,
30163253,1,MEDIAN,
30163253,2,WARNING SIGNS,
30163730,1,OTHER,
30164386,1,OFFICER OR FLAGMAN,
30167120,1,MEDIAN,
30167120,2,ADVISORY SPEED SIGN,
30167120,3,CENTER LINE,
30167282,1,MEDIAN,
30167283,1,MEDIAN,
30167283,2,ADVISORY SPEED SIGN,
30171177,1,MEDIAN,
30171177,2,WARNING SIGNS,
30171361,1,OTHER,
30171561,1,ADVISORY SPEED SIGN,
30171561,2,STOP & GO SIGNAL,
30173458,1,STOP SIGN,
30176501,1,MEDIAN,
30176501,2,ADVISORY SPEED SIGN,
30176685,1,ADVISORY SPEED SIGN,
30176685,2,OTHER,
30176685,3,WARNING SIGNS,
30176686,1,ADVISORY SPEED SIGN,
30176686,2,MEDIAN,
30179445,1,CENTER LINE,
30179445,2,OTHER,
30179496,1,MEDIAN,
30179496,2,ADVISORY SPEED SIGN,
30179496,3,NO PASSING ZONE,
30179496,4,OTHER,
30179496,5,WARNING SIGNS,
30179550,1,MEDIAN,
30179550,2,ADVISORY SPEED SIGN,
30179550,3,CENTER LINE,
30180808,1,CURVE SIGN,
30181277,1,MEDIAN,
30182629,1,MEDIAN,
30183143,1,STOP SIGN,
30185641,1,ADVISORY SPEED SIGN,
30185641,2,CENTER LINE,
30186673,1,CENTER LINE,
30186673,2,STOP & GO SIGNAL,
30186673,3,WARNING SIGNS,
30187069,1,MEDIAN,
30187069,2,ADVISORY SPEED SIGN,
30188757,1,CENTER LINE,
30188757,2,STOP & GO SIGNAL,
30190373,1,MEDIAN,
30190373,2,CENTER LINE,
30191294,1,MEDIAN,
30192938,1,MEDIAN,
30193604,1,MEDIAN,
30195539,1,ADVISORY SPEED SIGN,
30195539,2,MEDIAN,
30195611,1,NONE,
30196276,1,MEDIAN,
30199082,1,MEDIAN,
30199082,2,ADVISORY SPEED SIGN,
30199270,1,CENTER LINE,
30199270,2,OTHER,
30199270,3,WARNING SIGNS,
30200173,1,CENTER LINE,
30201800,1,MEDIAN,
30201800,2,OTHER,
30203652,1,MEDIAN,
30203680,1,MEDIAN,
30203680,2,WARNING SIGNS,
30203837,1,ADVISORY SPEED SIGN,
30203837,2,CENTER LINE,
30204188,1,CENTER LINE,
30204835,1,MEDIAN,
30209450,1,MEDIAN,
30210998,1,MEDIAN,
30212822,1,MEDIAN,
30212935,1,MEDIAN,
30212935,2,OTHER,
30217588,1,NONE,
30220767,1,MEDIAN,
30223616,1,MEDIAN,
30223616,2,ADVISORY SPEED SIGN,
30223754,1,NONE,
30224037,1,MEDIAN,
30224037,2,WARNING SIGNS,
30224222,1,ADVISORY SPEED SIGN,
30225926,1,ADVISORY SPEED SIGN,
30225926,2,STOP SIGN,
30227364,1,MEDIAN,
30229861,1,ADVISORY SPEED SIGN,
30232204,1,MEDIAN,
30232689,1,CENTER LINE,
30232689,2,OFFICER OR FLAGMAN,
30232689,3,STOP SIGN,
30233496,1,CENTER LINE,
30233496,2,STOP & GO SIGNAL,
30233496,3,WARNING SIGNS,
30236101,1,MEDIAN,
30236101,2,WARNING SIGNS,
30236101,3,YIELD SIGN,
30236354,1,MEDIAN,
30237994,1,CENTER LINE,
30237994,2,STOP & GO SIGNAL,
30238371,1,NO PASSING ZONE,
30238496,1,MEDIAN,
30238496,2,ADVISORY SPEED SIGN,
30238496,3,WARNING SIGNS,
30240858,1,MEDIAN,
30243340,1,MEDIAN,
30245275,1,MEDIAN,
30247578,1,STOP & GO SIGNAL,
30250170,1,MEDIAN,
30254018,1,CENTER LINE,
30254018,2,MEDIAN,
30254018,3,STOP & GO SIGNAL,
30254018,4,WARNING SIGNS,
30260763,1,CENTER LINE,
30263292,1,MEDIAN,
30263292,2,ADVISORY SPEED SIGN,
30263340,1,WARNING SIGNS,
30263573,1,MEDIAN,
30263734,1,CENTER LINE,
30263734,2,OTHER,
30263734,3,WARNING SIGNS,
30268127,1,MEDIAN,
30268131,1,NONE,
30268285,1,CENTER LINE,
30268334,1,MEDIAN,
30268334,2,ADVISORY SPEED SIGN,
30273431,1,WARNING SIGNS,
30273432,1,OTHER,
30273446,1,ADVISORY SPEED SIGN,
30274526,1,MEDIAN,
30275773,1,NONE,
30277953,1,ADVISORY SPEED SIGN,
30277953,2,CENTER LINE,
30279038,1,CENTER LINE,
30279038,2,MEDIAN,
30279038,3,STOP SIGN,
30279073,1,NONE,
30279079,1,MEDIAN,
30279079,2,STOP & GO SIGNAL,
30279085,1,ADVISORY SPEED SIGN,
30279085,2,MEDIAN,
30279085,3,OTHER,
30281676,1,MEDIAN,
30281676,2,ADVISORY SPEED SIGN,
30284930,1,MEDIAN,
30284930,2,OTHER,
30287390,1,NONE,
30288028,1,MEDIAN,
30288029,1,MEDIAN,
30289648,1,MEDIAN,
30289650,1,MEDIAN,
30291698,1,MEDIAN,
30291698,2,ADVISORY SPEED SIGN,
30291962,1,STOP SIGN,
30292262,1,STOP SIGN,
30292262,2,STOP & GO SIGNAL,
30296974,1,MEDIAN,
30301590,1,MEDIAN,
30303925,1,MEDIAN,
30303925,2,CENTER LINE,
30304661,1,ADVISORY SPEED SIGN,
30304661,2,MEDIAN,
30305089,1,MEDIAN,
30305089,2,ADVISORY SPEED SIGN,
30305496,1,ADVISORY SPEED SIGN,
30305496,2,WARNING SIGNS,
30305497,1,NO PASSING ZONE,
30305497,2,OTHER,
30305497,3,WARNING SIGNS,
30307312,1,MEDIAN,
30310749,1,ADVISORY SPEED SIGN,
30310749,2,CENTER LINE,
30310749,3,FLASHING LIGHT,
30311293,1,OTHER,
30313119,1,CENTER LINE,
30313119,2,MEDIAN,
30313183,1,MEDIAN,
30313183,2,CENTER LINE,
30314387,1,MEDIAN,
30314387,2,ADVISORY SPEED SIGN,
30314387,3,CENTER LINE,
30314857,1,MEDIAN,
30314861,1,MEDIAN,
30315050,1,ADVISORY SPEED SIGN,
30315050,2,WARNING SIGNS,
30315050,3,OTHER,
30315144,1,CENTER LINE,
30315144,2,STOP & GO SIGNAL,
30315882,1,CENTER LINE,
30315882,2,CURVE SIGN,
30315882,3,STOP & GO SIGNAL,
30315882,4,WARNING SIGNS,
30316167,1,MEDIAN,
30316263,1,MEDIAN,
30316263,2,CENTER LINE,
30316263,3,STOP & GO SIGNAL,
30316932,1,CENTER LINE,
30316932,2,CURVE SIGN,
30319010,1,ADVISORY SPEED SIGN,
30319010,2,CENTER LINE,
30319010,3,NO PASSING ZONE,
30321063,1,MEDIAN,
30322406,1,MEDIAN,
30323784,1,MEDIAN,
30324237,1,MEDIAN,
30327247,1,MEDIAN,
30327247,2,CENTER LINE,
30327247,3,OTHER,
30327247,4,WARNING SIGNS,
30327249,1,MEDIAN,
30327251,1,MEDIAN,
30328739,1,MEDIAN,
30328740,1,MEDIAN,
30329245,1,OTHER,
30329245,2,STOP & GO SIGNAL,
30329379,1,NO PASSING ZONE,
30329379,2,STOP & GO SIGNAL,
30329379,3,WARNING SIGNS,
30329707,1,CENTER LINE,
30329707,2,STOP SIGN,
30329814,1,MEDIAN,
30330039,1,MEDIAN,
30330039,2,STOP & GO SIGNAL,
30331604,1,CENTER LINE,
30332950,1,OFFICER OR FLAGMAN,
30332950,2,OTHER,
30332950,3,STOP & GO SIGNAL,
30333550,1,MEDIAN,
30333728,1,MEDIAN,
30333728,2,STOP & GO SIGNAL,
30333729,1,CENTER LINE,
30333729,2,STOP & GO SIGNAL,
30333862,1,MEDIAN,
30336191,1,MEDIAN,
30336191,2,ADVISORY SPEED SIGN,
30336191,3,CENTER LINE,
30337435,1,CENTER LINE,
30337858,1,ADVISORY SPEED SIGN,
30337858,2,CENTER LINE,
30338720,1,MEDIAN,
30344118,1,MEDIAN,
30344419,1,MEDIAN,
30347152,1,NONE,
30347423,1,MEDIAN,
30347423,2,OTHER,
30349318,1,NONE,
30349465,1,MEDIAN,
30352091,1,MEDIAN,
30352091,2,ADVISORY SPEED SIGN,
30352091,3,WARNING SIGNS,
30352284,1,ADVISORY SPEED SIGN,
30352284,2,WARNING SIGNS,
30355054,1,MEDIAN,
30355502,1,MEDIAN,
30355502,2,OTHER,
30355792,1,MEDIAN,
30358511,1,ADVISORY SPEED SIGN,
30358511,2,CENTER LINE,
30358819,1,MEDIAN,
30358819,2,STOP & GO SIGNAL,
30358819,3,WARNING SIGNS,
30359891,1,NONE,
30360736,1,MEDIAN,
30364786,1,CENTER LINE,
30368801,1,ADVISORY SPEED SIGN,
30370434,1,STOP & GO SIGNAL,
30371400,1,OFFICER OR FLAGMAN,
30371401,1,ADVISORY SPEED SIGN,
30371401,2,CENTER LINE,
30371401,3,OFFICER OR FLAGMAN,
30371401,4,WARNING SIGNS,
30372795,1,MEDIAN,
30372795,2,YIELD SIGN,
30375903,1,ADVISORY SPEED SIGN,
30375903,2,MEDIAN,
30377082,1,CENTER LINE,
30377082,2,OTHER,
30386191,1,NONE,
30387442,1,MEDIAN,
30387839,1,MEDIAN,
30387839,2,ADVISORY SPEED SIGN,
30391272,1,ADVISORY SPEED SIGN,
30391272,2,OFFICER OR FLAGMAN,
30397394,1,MEDIAN,
30402214,1,ADVISORY SPEED SIGN,
30402214,2,CENTER LINE,
30402894,1,ADVISORY SPEED SIGN,
30402894,2,CENTER LINE,
30402894,3,OFFICER OR FLAGMAN,
30403262,1,MEDIAN,
30403262,2,WARNING SIGNS,
30406065,1,STOP SIGN,
30406091,1,ADVISORY SPEED SIGN,
30406206,1,MEDIAN,
30407436,1,ADVISORY SPEED SIGN,
30407436,2,MEDIAN,
30407446,1,MEDIAN,
30408148,1,CENTER LINE,
30408222,1,CENTER LINE,
30408222,2,MEDIAN,
30408222,3,OFFICER OR FLAGMAN,
30408222,4,STOP & GO SIGNAL,
30408269,1,MEDIAN,
30409364,1,OTHER,
30409668,1,MEDIAN,
30409668,2,ADVISORY SPEED SIGN,
30411060,1,OFFICER OR FLAGMAN,
30411060,2,WARNING SIGNS,
30411066,1,ADVISORY SPEED SIGN,
30411066,2,CENTER LINE,
30411426,1,CENTER LINE,
30411641,1,ADVISORY SPEED SIGN,
30412479,1,MEDIAN,
30412479,2,YIELD SIGN,
30414506,1,MEDIAN,
30417008,1,CENTER LINE,
30417273,1,STOP & GO SIGNAL,
30417273,2,WARNING SIGNS,
30418087,1,CENTER LINE,
30418546,1,CENTER LINE,
30418673,1,MEDIAN,
30418673,2,OTHER,
30419312,1,MEDIAN,
30421074,1,MEDIAN,
30421363,1,NONE,
30421610,1,ADVISORY SPEED SIGN,
30421610,2,WARNING SIGNS,
30430570,1,MEDIAN,
30431661,1,NONE,
30431724,1,NONE,
30431958,1,MEDIAN,
30432259,1,MEDIAN,
30432259,2,WARNING SIGNS,
30432259,3,YIELD SIGN,
30432677,1,MEDIAN,
30432677,2,ADVISORY SPEED SIGN,
30432677,3,CENTER LINE,
30432677,4,OTHER,
30435716,1,ADVISORY SPEED SIGN,
30435716,2,STOP & GO SIGNAL,
30440532,1,MEDIAN,
30442010,1,ADVISORY SPEED SIGN,
30442010,2,MEDIAN,
30442010,3,OTHER,
30442234,1,MEDIAN,
30442234,2,ADVISORY SPEED SIGN,
30443081,1,ADVISORY SPEED SIGN,
30443081,2,CENTER LINE,
30443123,1,ADVISORY SPEED SIGN,
30443123,2,CENTER LINE,
30443123,3,NO PASSING ZONE,
30443896,1,NONE,
30445175,1,ADVISORY SPEED SIGN,
30445301,1,MEDIAN,
30445303,1,MEDIAN,
30447336,1,ADVISORY SPEED SIGN,
30447336,2,CENTER LINE,
30447358,1,CURVE SIGN,
30447358,2,NO PASSING ZONE,
30447358,3,OFFICER OR FLAGMAN,
30448598,1,ADVISORY SPEED SIGN,
30448598,2,CENTER LINE,
30451103,1,STOP SIGN,
30451483,1,MEDIAN,
30451943,1,MEDIAN,
30451943,2,OTHER,
30452053,1,MEDIAN,
30452053,2,ADVISORY SPEED SIGN,
30453871,1,MEDIAN,
30453871,2,STOP & GO SIGNAL,
30457129,1,MEDIAN,
30457129,2,CENTER LINE,
30458577,1,MEDIAN,
30461058,1,MEDIAN,
30461376,1,ADVISORY SPEED SIGN,
30461376,2,CENTER LINE,
30461376,3,NO PASSING ZONE,
30462131,1,MEDIAN,
30462131,2,OTHER,
30468824,1,NONE,
30470124,1,MEDIAN,
30470124,2,ADVISORY SPEED SIGN,
30471440,1,MEDIAN,
30471760,1,ADVISORY SPEED SIGN,
30476448,1,CENTER LINE,
30476448,2,WARNING SIGNS,
30476755,1,MEDIAN,
30476755,2,WARNING SIGNS,
30478157,1,MEDIAN,
30478157,2,SCHOOL ZONE SIGN,
30478157,3,STOP SIGN,
30478505,1,MEDIAN,
30478816,1,MEDIAN,
30478816,2,OTHER,
30480837,1,ADVISORY SPEED SIGN,
30480837,2,WARNING SIGNS,
30482368,1,NONE,
30485452,1,MEDIAN,
30485452,2,ADVISORY SPEED SIGN,
30485452,3,OTHER,
30486057,1,MEDIAN,
30487947,1,MEDIAN,
30487947,2,ADVISORY SPEED SIGN,
30487947,3,OFFICER OR FLAGMAN,
30487947,4,WARNING SIGNS,
30488493,1,ADVISORY SPEED SIGN,
30491616,1,CENTER LINE,
30491616,2,OFFICER OR FLAGMAN,
30491617,1,CENTER LINE,
30491617,2,OFFICER OR FLAGMAN,
30492293,1,ADVISORY SPEED SIGN,
30492293,2,WARNING SIGNS,
30494092,1,MEDIAN,
30497003,1,MEDIAN,
30497003,2,NO PASSING ZONE,
30497003,3,OTHER,
30498722,1,STOP & GO SIGNAL,
30498722,2,STOP SIGN,
30504100,1,MEDIAN,
30506701,1,WARNING SIGNS,
30507171,1,MEDIAN,
30507424,1,MEDIAN,
30507506,1,CENTER LINE,
30507509,1,CENTER LINE,
30507509,2,OFFICER OR FLAGMAN,
30509764,1,MEDIAN,
30512991,1,CENTER LINE,
30513005,1,NO PASSING ZONE,
30513076,1,MEDIAN,
30513076,2,ACCELERATIONDECELERATION LANE,
30513408,1,MEDIAN,
30513408,2,FLASHING LIGHT,
30513408,3,WARNING SIGNS,
30514023,1,OTHER,
30519641,1,MEDIAN,
30520867,1,STOP & GO SIGNAL,
30526462,1,MEDIAN,
30527186,1,MEDIAN,
30527458,1,MEDIAN,
30527821,1,ADVISORY SPEED SIGN,
30527821,2,CENTER LINE,
30527821,3,STOP & GO SIGNAL,
30530488,1,ADVISORY SPEED SIGN,
30530488,2,OTHER,
30530488,3,WARNING SIGNS,
30531614,1,MEDIAN,
30533673,1,NONE,
30533793,1,CENTER LINE,
30533793,2,YIELD SIGN,
30534134,1,STOP & GO SIGNAL,
30534531,1,FLASHING LIGHT,
30534533,1,ADVISORY SPEED SIGN,
30536572,1,MEDIAN,
30536793,1,CENTER LINE,
30536793,2,OFFICER OR FLAGMAN,
30536793,3,OTHER,
30538985,1,FLASHING LIGHT,
30538985,2,STOP & GO SIGNAL,
30538985,3,WARNING SIGNS,
30539402,1,MEDIAN,
30540479,1,NO PASSING ZONE,
30540479,2,OTHER,
30540479,3,STOP SIGN,
30541430,1,MEDIAN,
30541431,1,MEDIAN,
30542775,1,CENTER LINE,
30543079,1,MEDIAN,
30544474,1,MEDIAN,
