IncidentId,UnitNumber,Factor_Type,Factor,
28012087,1,ENVIRON FACTOR,02,
28012087,2,ENVIRON FACTOR,99,
28014535,1,ENVIRON FACTOR,02,
28014535,2,ENVIRON FACTOR,02,
28017733,1,ENVIRON FACTOR,02,
28019445,1,ENVIRON FACTOR,02,
28019445,2,ENVIRON FACTOR,02,
28021726,1,ENVIRON FACTOR,02,
28021726,2,ENVIRON FACTOR,02,
28024356,1,ENVIRON FACTOR,02,
28024356,2,ENVIRON FACTOR,02,
28026208,1,ENVIRON FACTOR,02,
28026208,2,ENVIRON FACTOR,02,
28026295,1,ENVIRON FACTOR,02,
28026295,2,ENVIRON FACTOR,02,
28026407,1,ENVIRON FACTOR,02,
28026407,1,ENVIRON FACTOR,99,
28026407,2,ENVIRON FACTOR,02,
28026426,1,ENVIRON FACTOR,02,
28026426,2,ENVIRON FACTOR,02,
28034752,1,ENVIRON FACTOR,02,
28034752,2,ENVIRON FACTOR,02,
28035286,1,ENVIRON FACTOR,02,
28035286,2,ENVIRON FACTOR,02,
28041215,1,ENVIRON FACTOR,02,
28041215,2,ENVIRON FACTOR,02,
28042876,1,ENVIRON FACTOR,02,
28042876,2,ENVIRON FACTOR,02,
28042990,1,ENVIRON FACTOR,02,
28042990,2,ENVIRON FACTOR,02,
28043009,1,ENVIRON FACTOR,09,
28043009,2,ENVIRON FACTOR,02,
28043009,2,ENVIRON FACTOR,09,
28046964,1,ENVIRON FACTOR,02,
28046964,1,ENVIRON FACTOR,03,
28053153,1,ENVIRON FACTOR,02,
28053153,2,ENVIRON FACTOR,02,
28056453,1,ENVIRON FACTOR,02,
28056747,1,ENVIRON FACTOR,02,
28056747,2,ENVIRON FACTOR,02,
28057508,1,ENVIRON FACTOR,02,
28057508,2,ENVIRON FACTOR,02,
28061268,1,ENVIRON FACTOR,02,
28061268,2,ENVIRON FACTOR,02,
28061268,3,ENVIRON FACTOR,02,
28062541,1,ENVIRON FACTOR,02,
28062541,2,ENVIRON FACTOR,02,
28063742,1,ENVIRON FACTOR,02,
28065545,1,ENVIRON FACTOR,02,
28065545,1,ENVIRON FACTOR,09,
28066882,1,ENVIRON FACTOR,02,
28066882,2,ENVIRON FACTOR,99,
28071866,1,ENVIRON FACTOR,02,
28071866,2,ENVIRON FACTOR,02,
28073611,1,ENVIRON FACTOR,02,
28073611,2,ENVIRON FACTOR,99,
28074014,1,ENVIRON FACTOR,02,
28074014,2,ENVIRON FACTOR,02,
28075899,1,ENVIRON FACTOR,02,
28075899,2,ENVIRON FACTOR,02,
28085334,1,ENVIRON FACTOR,02,
28085334,1,DRIVER DISTRACTED BY,03,
28085334,2,ENVIRON FACTOR,02,
28085485,1,ENVIRON FACTOR,02,
28085485,2,ENVIRON FACTOR,02,
28085945,1,ENVIRON FACTOR,02,
28085945,1,DRIVER DISTRACTED BY,03,
28085945,2,ENVIRON FACTOR,99,
28094820,1,ENVIRON FACTOR,02,
28094820,2,ENVIRON FACTOR,02,
28098980,1,ENVIRON FACTOR,99,
28098980,2,ENVIRON FACTOR,99,
28098980,3,ENVIRON FACTOR,99,
28098980,4,ENVIRON FACTOR,02,
28098980,4,ENVIRON FACTOR,09,
28104166,1,ENVIRON FACTOR,02,
28104166,2,ENVIRON FACTOR,02,
28108567,1,ENVIRON FACTOR,02,
28108567,2,ENVIRON FACTOR,02,
28108567,3,ENVIRON FACTOR,02,
28109800,1,ENVIRON FACTOR,02,
28109800,2,ENVIRON FACTOR,99,
28111347,1,ENVIRON FACTOR,02,
28111539,1,ENVIRON FACTOR,02,
28111539,2,ENVIRON FACTOR,02,
28111539,3,ENVIRON FACTOR,02,
28111851,1,ENVIRON FACTOR,02,
28111851,2,ENVIRON FACTOR,02,
