IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
30652907,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,VOLK,GOL,2 DOOR,VOLKSWAGEN,GOLF SERIES,
30024733,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),02,False,,DI,05,,False,05,01,True,TOYT,TUN,2 DOOR,TOYOTA,TUNDRA,
30315050,3,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,04,DI,05,05,False,16,01,True,VOLK,BUG,2 DOOR,VOLKSWAGEN,BEETLE (SUPER BEETLE OR BUG),
30418087,1,PASSENGER CAR,03,False,,DI,05,05,False,07,01,True,MNNI,CPR,HATCHBACK 2 DOOR,MINI (PC),COOPER/HTSS CVS HTCVCPES CPE,
30245275,2,PASSENGER CAR,02,False,,DI,05,,False,13,01,True,HOND,VEX,3 DOOR,HONDA,CR-V EX,
30657835,1,PASSENGER CAR,03,False,,DI,39,,False,05,01,True,SCIO,TC,3 DOOR,SCION,TC,
30813352,2,PASSENGER CAR,01,False,,UN,05,,False,05,01,True,SCIO,TC,3 DOOR,SCION,TC,
30183143,2,PASSENGER CAR,03,False,,DL,05,,False,12,01,True,SCIO,TC,HATCHBACK 3 DOOR,SCION,TC,
30409364,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,TOYT,YAR,HATCHBACK 3 DOOR,TOYOTA,YARIS,
30539402,1,PASSENGER CAR,03,False,,DI,47,,False,05,01,True,VOLV,C30,HATCHBACK 3 DOOR,VOLVO,C30,
30461058,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,TOYT,CST,HATCHBACK 3 DOOR,TOYOTA,CELICA,
30453871,2,PASSENGER CAR,03,False,,DI,05,,False,16,01,True,KIA,FRT,4 DOOR,KIA MOTORS CORPORATION,FORTE,
30605735,2,PASSENGER CAR,03,False,,DI,05,22,False,16,01,True,VOLK,PAS,4 DOOR,VOLKSWAGEN,PASSAT,
30621121,1,PASSENGER CAR,03,False,,DI,08,,False,05,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
